Judul,Link,Link_PDF,Status,Keterangan_Status,Tipe Dokumen,Tahun Terbit,Nomor Peraturan,Bidang Hukum,Tempat Penetapan,Tanggal Penetapan / Pengundangan,Singkatan Jenis / Bentuk Peraturan,Sumber,Bahasa,Nama Pengarang,Tipe Pengarang,Jenis Pengarang,Kata Kunci,Tipe Kata Kunci,Jenis Kata Kunci,Isi UU
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 255.K/MG.01/MEM.M/2024 tentang Perubahan atas Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 91.K/MG.01/MEM.M/2024 tentang Pengguna Gas Bumi Tertentu dan Harga Gas Bumi Tertentu di Bidang Industri,https://jdih.esdm.go.id/index.php/web/result/2481/detail,https://jdih.esdm.go.id/storage/document/2024kmesdm255_k.pdf,Mengubah;,Mengubah Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 91.K/MG.01/MEM.M/2023 tentang Pengguna Gas Bumi Tertentu dan Harga Gas Bumi Tertentu Di Bidang Industri,Peraturan Perundang-undangan,2024,255.K/MG.01/MEM.M/2024,Minyak dan Gas Bumi,JAKARTA,2024-10-09,KEPMEN,LL KESDM 2024 : 5 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Gas Bumi Tertentu, Pengguna, Harga, Bidang Industri",Topik,Primary,Perubahan atas Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 91.K/MG.01/MEM.M/2024 tentang Pengguna Gas Bumi Tertentu dan Harga Gas Bumi Tertentu di Bidang Industri
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 141.K/KP.01/MEM.S/2024 tentang Manjemen Talenta Aparatur Sipil Negara di Lingkungan Kementerian Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2480/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No 141K_KP01_MEM_S_2024.pdf,,,Peraturan Perundang-undangan,2024,141.K/KP.01/MEM.S/2024,Umum,JAKARTA,2024-06-24,KEPMEN,LL KESDM 2024 : 3 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Aparatur Sipil Negara, ASN, Talenta, Manajemen, Kementerian, Energi dan Sumber Daya Mineral",Topik,Primary,Manjemen Talenta Aparatur Sipil Negara di Lingkungan Kementerian Energi dan Sumber Daya Mineral
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 155.K/KA.01/MEM.S/2024 tentang Tata Naskah Dinas Elektronik di Lingkungan Kementerian Energi dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/2479/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No 155K_KA01_MEM_S_2024.pdf,,,Peraturan Perundang-undangan,2024,155.K/KA.01/MEM.S/2024,Umum,JAKARTA,2024-06-28,KEPMEN,LL KESDM 2024 : 4 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Tata Naskah Dinas, Elektronik, Kementerian, Energi dan Sumber Daya Mineral",Topik,Primary,Tata Naskah Dinas Elektronik di Lingkungan Kementerian Energi dan Sumber Daya Mineral
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 230.K/MG.01/MEM.M/2024 tentang Pedoman Pelaksanaan dan Komponen Kontrak Bagi Hasil Gross Split,https://jdih.esdm.go.id/index.php/web/result/2478/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No 230K_MG01_MEM_M_2024.pdf,,,Peraturan Perundang-undangan,2024,230.K/MG.01/MEM.M/2024,Minyak dan Gas Bumi,JAKARTA,2024-09-19,KEPMEN,LL KESDM 2024 : 4 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Gross Split, Kontrak Bagi Hasil, Komponen, Pedoman, Pelaksanaan",Topik,Primary,Pedoman Pelaksanaan dan Komponen Kontrak Bagi Hasil Gross Split
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 231.K/MB.01/MEM.B/2024 tentang Harga Mineral Logam Acuan dan Harga Batubara Acuan Untuk Bulan September 2024,https://jdih.esdm.go.id/index.php/web/result/2477/detail,https://jdih.esdm.go.id/storage/document/2024kmesdm231K.pdf,,,Peraturan Perundang-undangan,2024,231.K/MB.01/MEM.B/2024,Mineral dan Batubara,JAKARTA,2024-09-20,KEPMEN,LL KESDM 2024 : 3 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Mineral Logam Acuan, Batubara Acuan, Harga, Bulan September, Tahun 2024",Topik,Primary,Harga Mineral Logam Acuan dan Harga Batubara Acuan Untuk Bulan September 2024
Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 13 Tahun 2024 tentang Kontrak Bagi Hasil Gross Split,https://jdih.esdm.go.id/index.php/web/result/2476/detail,https://jdih.esdm.go.id/storage/document/Permen ESDM No 13 Th 2024.pdf,Mencabut;Mencabut,Mencabut Sebagian Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 23 Tahun 2021 tentang Pengelolaan Wilayah Kerja Minyak dan Gas Bumi Untuk Kontrak Kerja Sama Yang Akan Berakhir Catatan : Mencabut ketentuan Pasal 34 pada Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 23 Tahun 2021; Mencabut Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 08 Tahun 2017 tentang Kontrak Bagi Hasil Gross Split,Peraturan Perundang-undangan,2024,13 Tahun 2024,Minyak dan Gas Bumi,JAKARTA,2024-08-12,PERMEN,BN 2024 (470) : 22 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Kontrak Bagi Hasil, Gross Split",Topik,Primary,Kontrak Bagi Hasil Gross Split
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 187.K/GL.01/MEM.G/2024 tentang Penetapan Warisan Geologi (Geoheritage) Kabupaten Berau dan Kabupaten Kutai Timur Provinsi Kalimantan Timur,https://jdih.esdm.go.id/index.php/web/result/2475/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No 187_K_GL_01_MEM_G_2024.pdf,,,Peraturan Perundang-undangan,2024,187.K/GL.01/MEM.G/2024,Geologi,JAKARTA,2024-08-02,KEPMEN,LL KESDM 2024 : 4 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Geologi, Warisan, geoheritage, Kabupaten Berau, Kabupaten Kutai Timur, Provinsi Kalimantan Timur",Topik,Primary,Penetapan Warisan Geologi (Geoheritage) Kabupaten Berau dan Kabupaten Kutai Timur Provinsi Kalimantan Timur
Peraturan Menteri Energi dan Sumber Daya Mineral Nomor 12 Tahun 2024 tentang Pencabutan Peraturan Menteri Pertambangan dan Energi Nomor 516 K/38/M.PE/89 tentang Pemberian Tanda Penghargaan Dalam Bidang Keselamatan Kerja Pengusahaan Pertambangan Minyak dan Gas Bumi dan Pengusahaan Sumber Daya Panas Bumi,https://jdih.esdm.go.id/index.php/web/result/2474/detail,https://jdih.esdm.go.id/storage/document/Permen ESDM Nomor 12 Tahun 2024.pdf,,,Peraturan Perundang-undangan,2024,12 Tahun 2024,Himpunan Peraturan,JAKARTA,2024-08-06,PERMEN,BN 2024 (469) : 2 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Tanda Penghargaan, Bidang, Keselamatan Kerja, Pengusahaan, Pertambangan, Minyak dan Gas Bumi, Sumber Daya, Panas Bumi",Topik,Primary,Pencabutan Peraturan Menteri Pertambangan dan Energi Nomor 516 K/38/M.PE/89 tentang Pemberian Tanda Penghargaan Dalam Bidang Keselamatan Kerja Pengusahaan Pertambangan Minyak dan Gas Bumi dan Pengusahaan Sumber Daya Panas Bumi
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 195.K/MB.01/MEM.B/2024 tentang Harga Mineral Logam Acuan dan Harga Batubara Acuan Untuk Bulan Agustus 2024,https://jdih.esdm.go.id/index.php/web/result/2473/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No 195_K_MB_01_MEM_B_2024.pdf,,,Peraturan Perundang-undangan,2024,195.K/MB.01/MEM.B/2024,Mineral dan Batubara,JAKARTA,2024-08-12,KEPMEN,LL KESDM 2024 : 3 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Mineral Logam Acuan, Batubara Acuan, Harga, Bulan Agustus, Tahun 2024",Topik,Primary,Harga Mineral Logam Acuan dan Harga Batubara Acuan Untuk Bulan Agustus 2024
Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 173.K/MG.01/MEM.M/2024 tentang Rencana Induk Jaringan Transmisi dan Distribusi Gas Bumi Nasional Tahun 2024 - 2033,https://jdih.esdm.go.id/index.php/web/result/2472/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM No 173_K_MG_01_MEM_M_2024.pdf,Mencabut;,Mencabut Keputusan Menteri Energi dan Sumber Daya Mineral Nomor 10.K/MG.01/MEM.S/2023 tentang Rencana Induk Jaringan Transmisi dan Distribusi Gas Bumi Nasional Tahun 2022 - 2031,Peraturan Perundang-undangan,2024,173.K/MG.01/MEM.M/2024,Minyak dan Gas Bumi,JAKARTA,2024-07-25,KEPMEN,LL KESDM 2024 : 6 HLM,Indonesia,Indonesia.Kementerian Energi dan Sumber Daya Mineral,Badan Organisasi,Pengarang Utama,"Gas Bumi, Nasional, Jaringan Transmisi, Distribusi, Rencana Induk, Tahun 2024, Tahun 2033",Topik,Primary,Rencana Induk Jaringan Transmisi dan Distribusi Gas Bumi Nasional Tahun 2024 - 2033
